year,month_monday,state,district,locality,total_locality_cases,outbreak_duration_days,total_state_cases,total_state_deaths,total_rainfall_mm,mean_wind_speed,total_solar_radiation_mjm2,days_in_month,weeks_in_month
2010,3,SELANGOR,MPAJ,Taman Bukit Teratai (Zon C),32.0,37.0,1410.0,5.0,181.96666666666667,1.396825396825397,432.4000000000001,21,3
2010,3,SELANGOR,MPAJ,Taman Dagang (Zon A),41.0,45.5,1720.0,6.0,226.40000000000003,1.4095238095238098,451.965,28,4
2010,3,SELANGOR,MPAJ,Taman Dagang (Zon B),24.0,36.5,806.0,3.0,106.40000000000003,1.369047619047619,167.92000000000002,14,2
2010,3,SELANGOR,MPAJ,Taman Dagang Jaya ( Zon A),18.0,35.5,963.0,5.0,134.96666666666667,1.3666666666666667,290.57000000000005,14,2
2010,3,SELANGOR,MPAJ,Taman Melawati (Zon 5),51.0,47.333333333333336,1344.0,7.0,207.03333333333336,1.3507936507936507,399.31500000000005,21,3
2010,3,SELANGOR,MPAJ,Taman Permata (Zon A),6.0,38.0,496.0,2.0,61.96666666666666,1.2904761904761906,148.35500000000005,7,1
2010,3,SELANGOR,MPAJ,Taman Ukay Perdana (Zon 6),18.0,35.5,828.0,2.0,119.06666666666669,1.3880952380952383,250.57500000000002,14,2
2010,3,SELANGOR,MPKJ,Taman Sepakat Indah,30.0,41.0,1253.0,3.0,153.40000000000003,1.3984126984126986,309.75,21,3
2010,3,SELANGOR,MPS,Taman Pelangi Rawang,25.0,39.5,806.0,3.0,106.40000000000003,1.369047619047619,167.92000000000002,14,2
2010,3,SELANGOR,MPS,Taman Tun Teja,6.0,35.0,496.0,2.0,61.96666666666666,1.2904761904761906,148.35500000000005,7,1
2010,3,SELANGOR,MPSJ,Bandar Kinrara (6),20.0,41.5,963.0,5.0,134.96666666666667,1.3666666666666667,290.57000000000005,14,2
2010,3,SELANGOR,MPSJ,Pjs 11,47.0,46.5,1720.0,6.0,226.40000000000003,1.4095238095238098,451.965,28,4
2010,3,SELANGOR,MPSJ,Pjs 9,34.0,112.5,963.0,5.0,134.96666666666667,1.3666666666666667,290.57000000000005,14,2
2010,3,SELANGOR,MPSJ,Pusat Bandar Puchong ( Jalan Wawasan )(2),41.0,40.5,1720.0,6.0,226.40000000000003,1.4095238095238098,451.965,28,4
2010,3,SELANGOR,MPSJ,Ss 14,44.0,60.5,963.0,5.0,134.96666666666667,1.3666666666666667,290.57000000000005,14,2
2010,3,SELANGOR,MPSJ,Ss 15,24.0,33.5,828.0,2.0,119.06666666666669,1.3880952380952383,250.57500000000002,14,2
2010,3,SELANGOR,MPSJ,Ss 18,339.0,99.0,2216.0,8.0,288.3666666666667,1.3857142857142857,600.32,35,5
2010,3,SELANGOR,MPSJ,Taman Bkt Serdang,10.0,35.0,447.0,0.0,47.0,1.4571428571428573,141.83,7,1
2010,3,SELANGOR,MPSJ,Taman Bukit Serdang,30.0,45.5,806.0,3.0,106.40000000000003,1.369047619047619,167.92000000000002,14,2
2010,3,SELANGOR,MPSJ,Taman Puchong Intan,10.0,31.0,381.0,2.0,72.06666666666669,1.3190476190476192,108.745,7,1
2010,3,SELANGOR,MPSJ,Taman Sedang Perdana (Sp 5),99.0,47.0,2216.0,8.0,288.3666666666667,1.3857142857142857,600.32,35,5
2010,3,SELANGOR,MPSJ,Taman Serdang Raya 4,8.0,30.0,425.0,1.0,34.333333333333336,1.4190476190476191,59.175,7,1
2010,3,SELANGOR,MPSJ,Taman Universiti Indah 1,9.0,46.0,496.0,2.0,61.96666666666666,1.2904761904761906,148.35500000000005,7,1
2010,3,SELANGOR,MPSJ,Usj 11,272.0,89.0,1769.0,8.0,241.3666666666667,1.3678571428571429,458.49000000000007,28,4
2010,3,SELANGOR,MPSJ,Usj 2,36.0,79.5,963.0,5.0,134.96666666666667,1.3666666666666667,290.57000000000005,14,2
2010,3,SELANGOR,MPSJ,Usj 6,36.0,42.0,1253.0,3.0,153.40000000000003,1.3984126984126986,309.75,21,3
2010,3,SELANGOR,Petaling,Seksyen 7 Flat  A,59.0,86.0,496.0,2.0,61.96666666666666,1.2904761904761906,148.35500000000005,7,1
2010,3,SELANGOR,Petaling,Seksyen 7 Flat B,12.0,41.0,496.0,2.0,61.96666666666666,1.2904761904761906,148.35500000000005,7,1
2010,3,SELANGOR,Petaling,Seksyen 7 Flat D,88.0,67.0,496.0,2.0,61.96666666666666,1.2904761904761906,148.35500000000005,7,1
2010,3,SELANGOR,Petaling,Seksyen 7 Teres A,100.0,63.0,992.0,4.0,123.93333333333332,1.2904761904761906,296.7100000000001,14,2
2010,3,SELANGOR,Petaling,Seksyen 7E B,54.0,60.0,496.0,2.0,61.96666666666666,1.2904761904761906,148.35500000000005,7,1
2010,3,SELANGOR,Sepang,Apartment Rista Villa,5.0,33.0,467.0,3.0,73.0,1.4428571428571428,142.21499999999997,7,1
2010,3,TERENGGANU,KKM,Kampung Buluh Gading,220.0,40.0,112.0,0.0,167.95,2.0714285714285716,0.0,42,6
2010,3,TERENGGANU,KKM,Rakr Telaga Daeng,60.0,39.5,66.0,0.0,167.95,2.182142857142857,0.0,28,4
2010,3,WPKL/PUTRAJAYA,Cheras,Flat Sri Melaka.,20.0,39.0,463.0,0.0,1.2,2.728571428571429,0.0,21,3
2010,3,WPKL/PUTRAJAYA,Cheras,Kg Malaysia Tambahan,5.0,36.0,94.0,0.0,40.2,2.1142857142857143,0.0,7,1
2010,3,WPKL/PUTRAJAYA,Cheras,Ppr Desa Tun Razak,67.0,68.0,664.0,0.0,87.0,2.5371428571428574,0.0,35,5
2010,3,WPKL/PUTRAJAYA,Cheras,Ppr Taman Mulia,118.0,74.0,664.0,0.0,87.0,2.5371428571428574,0.0,35,5
2010,3,WPKL/PUTRAJAYA,Cheras,Taman Maluri Jalan Jejaka,10.0,33.0,94.0,0.0,40.2,2.1142857142857143,0.0,7,1
2010,3,WPKL/PUTRAJAYA,Damansara,Apartment Putra Ria,7.0,31.0,107.0,0.0,45.6,2.3857142857142857,0.0,7,1
2010,3,WPKL/PUTRAJAYA,Damansara,Kg Sg Pencala,7.0,31.0,94.0,0.0,40.2,2.1142857142857143,0.0,7,1
2010,3,WPKL/PUTRAJAYA,Gombak,Kg Desa Aman,30.0,70.0,140.0,0.0,0.0,3.1428571428571432,0.0,7,1
2010,3,WPKL/PUTRAJAYA,Gombak,Taman Sri Gombak Fasa 9,21.0,66.0,140.0,0.0,0.0,3.1428571428571432,0.0,7,1
2010,3,WPKL/PUTRAJAYA,Hulu Langat,Apartment 16C Seksyen 16 Bandar Baru Bangi,17.0,51.0,140.0,0.0,0.0,3.1428571428571432,0.0,7,1
2010,3,WPKL/PUTRAJAYA,Klang Lama,Bukit Jalil (Jalil Damai Apartment),9.0,30.0,94.0,0.0,40.2,2.1142857142857143,0.0,7,1
2010,3,WPKL/PUTRAJAYA,Klang Lama,Ppr Kg Limau,26.0,40.0,463.0,0.0,1.2,2.728571428571429,0.0,21,3
2010,3,WPKL/PUTRAJAYA,Klang Lama,Vista Angkasa,28.0,37.0,341.0,0.0,85.80000000000001,2.5476190476190474,0.0,21,3
2010,3,WPKL/PUTRAJAYA,MBPJ,Flat Desaria Pjs 5,36.0,62.0,140.0,0.0,0.0,3.1428571428571432,0.0,7,1
2010,3,WPKL/PUTRAJAYA,MBPJ,Mentari Court Pjs 8,23.0,72.0,140.0,0.0,0.0,3.1428571428571432,0.0,7,1
2010,3,WPKL/PUTRAJAYA,MBSA,Seksyen 7D (Teres Jalan 7/63),12.0,54.0,140.0,0.0,0.0,3.1428571428571432,0.0,7,1
2010,3,WPKL/PUTRAJAYA,MPAJ,Au5D Taman Keramat (Zon A),9.0,74.0,140.0,0.0,0.0,3.1428571428571432,0.0,7,1
2010,3,WPKL/PUTRAJAYA,MPAJ,Taman Melawati (Zon 5),19.0,52.0,140.0,0.0,0.0,3.1428571428571432,0.0,7,1
2010,3,WPKL/PUTRAJAYA,MPSJ,Usj 11,70.0,89.0,140.0,0.0,0.0,3.1428571428571432,0.0,7,1
2010,3,WPKL/PUTRAJAYA,Pusat Bandar,Bandar Baru Sentul (Menara Orkid),65.0,60.5,570.0,0.0,46.800000000000004,2.6428571428571432,0.0,28,4
2010,3,WPKL/PUTRAJAYA,Pusat Bandar,Flat Sri Selangor,335.0,52.0,664.0,0.0,87.0,2.5371428571428574,0.0,35,5
2010,3,WPKL/PUTRAJAYA,Pusat Bandar,"Kg, Baru (Jalan Hamzah,Jalan Hj Yahya Syeikh Ahmad)",18.0,33.5,201.0,0.0,85.80000000000001,2.25,0.0,14,2
2010,3,WPKL/PUTRAJAYA,Setapak,Desa Tun Hussin Onn B ( Blok 5-17),7.0,34.0,140.0,0.0,0.0,3.1428571428571432,0.0,7,1
2010,3,WPKL/PUTRAJAYA,Setapak,Heritage Kondo,16.0,31.0,94.0,0.0,40.2,2.1142857142857143,0.0,7,1
2010,3,WPKL/PUTRAJAYA,Setapak,Jalan Semarak (Pulapol),12.0,34.5,201.0,0.0,85.80000000000001,2.25,0.0,14,2
2010,3,WPKL/PUTRAJAYA,Setapak,Keramat Wangsa ( Pangsapuri Atm),12.0,34.0,107.0,0.0,45.6,2.3857142857142857,0.0,7,1
