state,iso_year,week,year,total_rainfall_mm,mean_wind_speed,total_solar_radiation_mjm2,days_in_week
Federal territory of Malaysia,2010,51,2010,127.6,1.671428571428571,,7
Federal territory of Malaysia,2010,52,2010,7.3,1.9000000000000001,,7
Federal territory of Malaysia,2011,1,2011,112.2,2.185714285714286,,7
Federal territory of Malaysia,2011,2,2011,79.0,2.0714285714285716,,7
Federal territory of Malaysia,2011,3,2011,65.7,1.6714285714285713,,7
Federal territory of Malaysia,2011,4,2011,81.0,2.942857142857143,,7
Federal territory of Malaysia,2011,5,2011,132.8,2.6285714285714286,,7
Federal territory of Malaysia,2011,6,2011,-11.099999999999996,1.742857142857143,,7
Federal territory of Malaysia,2011,7,2011,88.0,2.457142857142857,,7
Federal territory of Malaysia,2011,8,2011,-30.9,2.585714285714286,,7
Federal territory of Malaysia,2011,9,2011,-16.7,1.8571428571428572,,7
Federal territory of Malaysia,2011,10,2011,-12.499999999999998,2.557142857142857,,7
Federal territory of Malaysia,2011,11,2011,84.3,1.7857142857142858,,7
Federal territory of Malaysia,2011,12,2011,149.0,1.9285714285714286,,7
Federal territory of Malaysia,2011,13,2011,91.2,1.9285714285714286,,7
Federal territory of Malaysia,2011,14,2011,124.4,2.6142857142857143,,7
Federal territory of Malaysia,2011,15,2011,38.300000000000004,1.7857142857142858,,7
Federal territory of Malaysia,2011,16,2011,-26.099999999999994,1.7857142857142858,,7
Federal territory of Malaysia,2011,17,2011,36.0,1.885714285714286,,7
Federal territory of Malaysia,2011,18,2011,5.700000000000003,1.8285714285714287,,7
Federal territory of Malaysia,2011,19,2011,38.4,1.657142857142857,,7
Federal territory of Malaysia,2011,20,2011,98.60000000000001,1.2857142857142858,,7
Federal territory of Malaysia,2011,21,2011,70.19999999999999,1.5857142857142856,,7
Federal territory of Malaysia,2011,22,2011,5.100000000000001,1.5,,7
Federal territory of Malaysia,2011,23,2011,153.6,1.6142857142857143,,7
Federal territory of Malaysia,2011,24,2011,-27.9,1.8714285714285714,,7
Federal territory of Malaysia,2011,25,2011,31.900000000000006,1.6428571428571428,,7
Federal territory of Malaysia,2011,26,2011,64.4,0.9142857142857144,,7
Federal territory of Malaysia,2011,27,2011,-18.5,0.9571428571428572,,7
Federal territory of Malaysia,2011,28,2011,30.300000000000008,1.1,,7
Federal territory of Malaysia,2011,29,2011,5.1000000000000085,1.1,,7
Federal territory of Malaysia,2011,30,2011,0.0,1.385714285714286,,7
